name
Ana Maria Machado
Francisco Marins
Lúcia Machado de Almeida
Júlio César de Mello e Souza
Maria Clara Machado
José Bento Monteiro Lobato
Socorro Acioli
Daniel Munduruku
Carlos Drummond de Andrade
Fernando Sabino
João do Rio
João Ubaldo Ribeiro
José de Côrtes Duarte
Luis Fernando Verissimo
Paulo Mendes Campos
Pedro Bloch
Rubem Braga
Tati Bernardi
Adrino Aragão
Aníbal Machado
Alcântara Machado
Dalton Trevisan
João Simões Lopes Neto
Márcia Denser
Murilo Rubião
Osman Lins
Regina Rheda
Sonia Coutinho
Nonfiction writers
Flavio Alves
Rubem Alves
Mário de Andrade
Oswald de Andrade
Nelson de Araújo
Gustavo Barroso
Roger Bastide
Leonardo Boff
Josué de Castro
Gauss Moutinho Cordeiro
Oswaldo Cruz
Euclides da Cunha
Luís da Câmara Cascudo
Alessandra Silvestri-Levy
Antônio Houaiss
Aurélio Buarque de Holanda Ferreira
José Maria da Silva Paranhos
Caio Prado Júnior
Celso Furtado
Darcy Ribeiro
Florestan Fernandes
Gilberto Freyre
Joaquim Nabuco
José Guilherme Merquior
José Lino Grünewald
José Mariano da Conceição Veloso
Julio Ximenes Senior
Miguel Reale
Paulo Alfeu Junqueira Duarte
Paulo Freire
Plínio Salgado
Raymundo Faoro
Rinaldo de Lamare
Roberto da Matta
Ruy Barbosa
Sérgio Buarque de Holanda
Tristão de Athayde
Viscount of Taunay
Olavo de Carvalho philosopher
Vicente Ferreira da Silva
Ariano Suassuna
Artur Azevedo
Augusto Boal
Dias Gomes
Edla Van Steen
Gianfrancesco Guarnieri
José Paulo Lanyi
Leilah Assumpção
Luís Caetano Pereira Guimarães Júnior
Luiz Duarte
Manuel de Araújo Porto-Alegre
Maria Clara Machado
Luís Carlos Martins Pena
Nelson Rodrigues
Oswald de Andrade
Pedro Bloch
Qorpo Santo
Vianinha
Alberto Dines
Tristão de Athayde
Carlos Heitor Cony
Carlos Lacerda
Elio Gaspari
Elsie Lessa
Gilberto Dimenstein
Hebert Neri
Ivan Lessa
José do Patrocínio
José Paulo Lanyi
Luiz Carlos de Carvalho Teixeira de Freitas
Mino Carta
Paulo Francis
Quintino Bocaiúva
Samuel Wainer
Sergio Buarque de Hollanda
Sebastião Nery
Zuenir Ventura
Olavo de Carvalho
Adalgisa Nery
Adélia Prado
Affonso Romano de Sant'Anna
Alberto de Oliveira
Alphonsus de Guimaraens
Alvarenga Peixoto
Álvares de Azevedo
Amália dos Passos Figueiroa
Américo Elísio
Ana Cristina César
António Pereira de Sousa Caldas
Adalcinda Camarão
Arnaldo Antunes
Augusto de Campos
Augusto de Lima
Augusto dos Anjos
Bruno Tolentino
Basílio da Gama
Domingos Caldas Barbosa
Beatriz Francisca de Assis Brandão
Carlos Drummond de Andrade
Casimiro de Abreu
Cassiano Ricardo
Castro Alves
Cecília Meireles
Cláudio Manuel da Costa
Cora Coralina
Cruz e Souza
Dante Milano
Décio Pignatari
Esmeralda Ribeiro
Ferreira Gullar
Frank Jorge
Frederico Barbosa
Gilberto Mendonça Teles
Gonçalves Crespo
Domingos José Gonçalves de Magalhães
Gonçalves Dias
Gregório de Matos Guerra
Gustavo Dourado
Haroldo de Campos
Helena Parente Cunha
Henriqueta Lisboa
Hilda Hilst
João Cabral de Melo Neto
Jorge de Lima
Katya Chamma
Manoel de Barros
Manuel Bandeira
Manuel de Araújo Porto-Alegre
Marcia Theophilo
Mário de Andrade
Mário Quintana
Menotti Del Picchia
Miriam Alves
Murilo Mendes
Olavo Bilac
Osório Duque-Estrada
Oswald de Andrade
Paulo Leminski
Raul Bopp
Rogério Skylab
Ronald de Carvalho
Santa Rita Durão
Silva Alvarenga
Tomás Antônio Gonzaga
Torquato Neto
Vinícius de Moraes
Waly Salomão
A. C. Frieden
Adolfo Caminha
Adonias Filho
Aluísio de Azevedo
Ana Miranda
André de Leones
André Vianco
Antônio Callado
Ariano Suassuna
Autran Dourado
Bernardo Carvalho
Bernardo Guimarães
Caio Fernando Abreu
Chico Buarque
Clarice Lispector
Cristovam Buarque
Cristóvão Tezza
Cyro dos Anjos
Érico Veríssimo
Esther Largman
Fernando Sabino
Fernando Gabeira
José Paulo Lanyi
José Pereira da Graça Aranha
Graciliano Ramos
João Guimarães Rosa
Hilda Hilst
Holdemar Menezes
João Almino
João Gilberto Noll
João Ubaldo Ribeiro
Joaquim Manuel de Macedo
Jorge Amado
José Américo de Almeida
José Cândido Carvalho
José de Alencar
José Lins do Rego
José Mauro de Vasconcelos
Lima Barreto
Lourenço Mutarelli
Lúcio Cardoso
Luisa Geisler
Lya Luft
Lygia Fagundes Telles
Joaquim Maria Machado de Assis
Manuel Antônio de Almeida
Márcio Souza
Mário de Andrade
Max Mallmann
Moacyr Scliar
Orígenes Lessa
Oswald de Andrade
Paulo Coelho
Paulo Lins
Rachel de Queiroz
Socorro Acioli
Raduan Nassar
Regina Rheda
Roberto Drummond
Rubem Fonseca
Victor Heringer
Viscount of Taunay
Antônio Gonçalves Teixeira e Souza
Urda Alice Klueger
Pedro Nava
Mário Palmério
Nélida Piñon
Raul Pompéia
Godofredo Rangel
Marcos Rey
José Rezende Filho
Júlio Ribeiro
Sérgio Sant'Anna
José Sarney
Bernardo Guimarães
Mário de Andrade
Oswald de Andrade
Alfredo Bosi
Antonio Candido
Otto Maria Carpeaux
Afrânio Coutinho
Araripe Júnior
Benedito Nunes
Wilson Martins
Tobias Barreto de Meneses
José Guilherme Merquior
Augusto Meyer
Fernandes Pinheiro
Sílvio Romero
Florêncio Carlos de Abreu e Silva
José Veríssimo
Other writers
Marcelo Cassaro
Millôr Fernandes
Zélia Gattai
Alice Dayrell Caldeira Brant
Luis Eduardo Matta
Ricardo Semler
Gabriel Soares de Souza
Mateus Soares de Azevedo
Malba Tahan
Adelmar Tavares
Franklin Távora
Miguel Torres de Andrade
Fagundes Varela
António Vieira
Afonso Arinos de Melo Franco
Austregésilo de Athayde
Fabrício Carpi Nejar
Aristides Fraga Lima
Henrique Maximiano Coelho Neto
José do Patrocínio
Afrânio Peixoto
Afonso Schmidt
Paulo Setúbal
Narbal Fontes
Eduardo Portella
Francisco de Sales Torres Homem
Ivan Ângelo
Paulo Fernando Craveiro
József Ács
Gyula Andrássy the Younger
Péter Apor
György Aranka
Julio Baghy
Stefano Bakonyi
Béla A. Bánáthy
Joseph Bard
György Beifeld
Árpád Berczik
Géza Bereményi
Pál Bokor
Iván Boldizsár
Szilárd Borbély
Stephanus Brodericus
Alexander Brody
Iles Brody
Sándor Bródy
Ézsaiás Budai
Melchior Cibinensis
Géza Csáth
Kálmán Csathó
Zsigmond Czakó
György Dalos
Nicolas Darvas
Attila Demkó
Tibor Déry
Julius Dessauer
István Eörsi
József Eötvös
Márton Esterházy
Tamás Esterházy
Péter Farkas
Sándor Bölöni Farkas
Tivadar Farkasházy
András Fáy
Mihály Fazekas
György Fejér
István Fekete
Miksa Fenyő
Salamon Ferenc
Marcel Fodor
Julius Thomas Fraser
Dénes Friedmann
Alexandre Ganoczy
Géza Gárdonyi
Gyula Germanus
Hans Habe
Béla Hamvas
Emil Haraszti
Attila Hazai
Gáspár Heltai
Ferenc Herczeg
Gyula Hernádi
Lajos Hevesi
Ferenc Hüll
Péter Hunčík
John of Küküllő
George Jonas
Miklós Jósika
Eduard Kabos
Gustav Kadelburg
János Kardos
Ferenc Karinthy
József Kármán
Gyula Kautz
Zsigmond Kemény
Károly Kisfaludy
Ephraim Kishon
Simon Knéfacz
János Kodolányi
Vilmos Kondor
Ferenc Körmendi
Domokos Kosáry
József Köves
Menyhért Lakatos
Osvát Laskai
Ervin Lázár
Ábrahám Lederer
Balázs Lengyel
Olga Lengyel
Emőke Lipcsey
Rezső Máder
Oscar Kiss Maerth
Emil Makai
Iván Mándy
Ferenc Máté
József Molnár
Thomas Molnar
Ferenc Móra
Péter Nádas
Lajos Nagy
Max Nordau
József Nyírő
Nicolaus Olahus
Balázs Orbán
István Örkény
Ferenc Oslay
Géza Ottlik
István Pálffy
George Paloczi-Horvath
Péter Hédervári
Zoltán Pogátsa
Lajos Pósa
Zsolt Pozsgai
Giorgio Pressburger
Szaniszló Priszter
Ferenc Pulszky
József Pusztai
Ödön Rádl
Jenő Rákosi
Viktor Rákosi
Gábor Rekettye
Richard Réti
Alfred Reynolds
Egon Ronay
David Rozgonyi
János Rózsás
György Sárközi
Ferenc Sbüll
Sándor Sík
Tamás Sipos
Sonntagskreis
Tivadar Soros
György Spiró
Jakab Szabár
Dezső Szabó
István P. Szabó
Sándor Szathmári
István Széchenyi
Miklós Szentkuthy
Mária Szepes
Ede Szigligeti
Zoltán Sztáray
Edina Szvoren
